sentence-id,sentence-name,interval-length,probe-method,score-good,score-bad,score-diff,correct,model,prompt_type,complexity,concept_tag,has_tag
goaldirectedness,goaldirectedness_interval_1_continuation_1,1,continuation,-3.307038338193548,-3.5921704843636366,0.2851321461700884,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_1_continuation_2,1,continuation,-3.539767795222222,-3.701515480407408,0.1617476851851855,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_1_continuation_3,1,continuation,-3.7124962442692313,-3.91482421884,0.2023279745707689,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_2_continuation_1,2,continuation,-3.3063548018536584,-3.5634992733953488,0.2571444715416904,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_2_continuation_2,2,continuation,-3.507165857189189,-3.628048458540541,0.1208826013513513,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_2_continuation_3,2,continuation,-3.652547200444445,-3.803780691885714,0.1512334914412698,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_3_continuation_1,3,continuation,-3.2776562498,-3.487605168076923,0.2099489182769232,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_3_continuation_2,3,continuation,-3.4571480127391303,-3.542873216652174,0.0857252039130438,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_3_continuation_3,3,continuation,-3.5777235241333334,-3.6743053087727273,0.0965817846393939,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_4_continuation_1,4,continuation,-3.283771306654545,-3.4779673792280703,0.1941960725735247,True,gemma2-9b-instruct,continuation,2.0,Social,True
goaldirectedness,goaldirectedness_interval_4_continuation_2,4,continuation,-3.441971124235294,-3.517874923254902,0.0759037990196076,True,gemma2-9b-instruct,continuation,2.0,Social,True
